index,price,type,sqfeet,beds,baths,lat,long
458,655,apartment,584,1,1.0,33.8712,-98.5127
459,1040,apartment,700,1,1.0,31.8792,-102.301
460,705,apartment,721,1,1.0,29.7181,-95.5441
461,580,apartment,825,2,1.0,29.893,-97.9397
462,1080,apartment,1062,2,2.0,32.8958,-96.9744
463,660,apartment,689,2,1.0,31.8552,-106.435
464,800,apartment,1000,2,2.0,26.2332,-98.1939
465,675,manufactured,35,3,2.0,35.2224,-101.765
466,1049,apartment,976,2,2.0,29.7099,-98.1129
467,799,apartment,300,1,1.0,35.1898,-101.934
468,799,apartment,800,2,2.0,31.5171,-97.1939
469,1195,duplex,1300,3,2.0,31.0815,-97.751
470,1140,apartment,710,1,1.0,32.0351,-102.134
471,1241,apartment,1003,2,2.0,30.1365,-94.1905
472,1684,apartment,1309,3,2.0,29.4189,-98.6895
473,1371,apartment,933,2,2.0,32.0276,-102.148
474,1165,apartment,796,1,1.0,30.4036,-97.7526
475,615,apartment,364,0,1.0,35.1653,-101.884
476,1018,apartment,850,2,1.0,29.5152,-98.4689
477,900,apartment,868,2,1.0,29.6448,-95.5083
478,730,apartment,750,1,1.0,30.1175,-94.1903
479,1563,apartment,1107,2,2.0,31.9077,-102.284
480,865,apartment,832,1,1.0,27.7103,-97.4092
481,710,apartment,925,2,1.0,30.651,-96.3336
482,819,apartment,975,2,2.0,29.8402,-95.3844
483,1530,townhouse,1300,3,2.0,29.2971,-94.8002
484,840,apartment,805,2,2.0,33.8633,-98.534
485,945,apartment,700,1,1.0,31.7346,-95.5332
486,2333,apartment,1260,2,2.0,32.0362,-102.081
487,1302,apartment,914,2,2.0,29.2971,-94.8002
488,615,apartment,364,0,1.0,35.1653,-101.884
489,985,apartment,810,1,1.0,32.8409,-97.2854
490,780,apartment,1045,3,2.0,33.6975,-101.905
491,429,apartment,1149,3,3.0,30.593000000000004,-96.3338
492,845,apartment,651,1,1.0,29.3941,-94.9517
493,1230,apartment,1150,3,2.0,26.1823,-97.7301
494,945,apartment,890,2,2.0,27.6758,-97.3475
495,869,apartment,691,1,1.0,30.0931,-94.1899
496,859,apartment,1044,2,2.0,30.7061,-95.5495
497,885,apartment,880,1,1.0,29.3116,-94.77
498,645,apartment,825,2,1.5,33.5469,-101.91
499,1670,apartment,759,1,1.0,31.9235,-102.292
500,1035,apartment,624,1,1.0,29.9966,-97.8335
501,2100,house,2505,4,3.0,29.7404,-95.8304
502,808,apartment,800,2,2.0,31.535,-97.1899
503,610,apartment,730,2,1.0,31.7886,-106.394
504,1499,apartment,1202,3,2.0,nan,nan
505,749,apartment,880,2,1.5,30.6224,-96.3498
506,899,apartment,690,1,1.5,29.8754,-97.9404
507,1275,apartment,905,2,1.0,31.8341,-102.416
508,700,apartment,746,2,1.0,31.8552,-106.435
509,700,apartment,750,1,1.0,35.1944,-101.912
510,1010,apartment,630,1,1.0,31.8932,-102.353
511,509,apartment,875,2,2.0,30.6269,-96.3281
